	正解	予測	予測確率(ポジティブ)	単語列
0	1	1	0.7192571031779501	stori surfac deep visual envelop sound blue crush make surprisingli decent flick worth summertim look see
1	0	0	0.43555364765628346	expect get assum bar expect rais sixth grade height
2	0	0	0.44363109786052296	empti shell epic rather real deal
3	0	0	0.3596313956491446	distinctli sub-par like drow viewer boredom send shiver spine
4	0	0	0.2885433248324875	anyway reason anoth crush turn dire drama partway get stupid maudlin bad thank love comed moment sever fine perform total loss
5	0	0	0.2883122849699773	spend stuff get buck greasi littl vidgam pit theater lobbi
6	0	1	0.6434082640216355	admir recommend overstay natur run time
7	0	0	0.24146590665206122	chuckl least complet miss mani come amazingli lifelik tara reid act skill compar cardboard cutout
8	0	0	0.3502180824442861	virtual interest element audienc focu chelsea wall tripl espresso endur challeng
9	1	1	0.8263345865219507	thoroughli engag surprisingli touch british comedi
10	1	1	0.8112886236274301	real movi real peopl give rare glimps cultur know
11	0	0	0.23528490565616686	full flatul joke mild sexual refer kung pow kind movi critic proof simpli aim low
12	0	1	0.6485074920671585	skirmish power wage victim predat settl undistinguish rhythm artifici suspens
13	0	1	0.5013370261748988	take talent make lifeless movi heinou man ever live
14	0	0	0.28319386901770227	hollywood end share belli laugh includ knockout close line movi wind feel great miss opportun
15	0	0	0.1337048367283378	follow basic plot trajectori nearli everi schwarzenegg film cross arni arni blow thing
16	1	0	0.4791675404536114	fantast premis anchor movi need rigid blair witch style commit mockumentari format straightforward dramat treatment grandios impli
17	0	0	0.14042000136116803	anoth combin bad anim mindless violenc lack slightest bit wit charm
18	1	1	0.7560033360556947	polish vastli entertain caper film put sting back con
19	1	1	0.9042033163056935	pacino best year keener marvel
20	0	0	0.36131284485406256	choppi edit annoy score special effect way replac object charact hand camera line besott misbegotten
21	0	0	0.38583335790907747	sitcomishli predict cloy attempt poignant
22	0	1	0.5916229752358607	bartlett hero remain reactiv cipher open man head heart imagin reason film make
23	0	0	0.2726596718810547	garbu discard potenti patholog studi exhum instead skew melodrama circumstanti situat
24	0	0	0.24357385586978827	tom green stage gag assault america knee jerk moral sanctimoni jackass lack aspir social upheav
25	0	0	0.2726204319472226	unholi mess drive pathet idea shoot crummi look videotap label hip innov realist
26	0	0	0.3082509499100146	everi note ring fals
27	0	0	0.3140030853240755	kirshner monro seem contest see bad act kirshner win close
28	0	0	0.21401592202594766	compendium solondz worst instinct minut
29	1	0	0.48675061329770364	veteran head cutter barbershop tune commun
30	0	0	0.334958104322588	save planet messag clash crass market
31	0	1	0.6557728730150619	fan assuredli funni bone tickl find humor seek dollar best spend elsewher
32	1	1	0.653068147186136	blisteringli rude scarili funni sorrow sympathet damag survey film kieran culkin pitch perfect holden
33	1	1	0.8349309931424308	simpli fun ever documentari
34	1	1	0.5234525253986166	skip work see first opportun
35	1	1	0.6210300333519391	jeff gorgeou fluid composit underlin neil finn edmund mcwilliam melancholi music charg metaphor rare easi obviou self indulg
36	1	1	0.6818398925621726	movi captiv detail perform foreman bark mad taylor thewli smoothli sinist freddi bettani mcdowel hard eye gangster
37	1	0	0.194242834249975	labut care handl make materi seem genuin rather pander
38	0	0	0.4718852336963905	fetid underbelli fame never look uglier
39	1	1	0.5085848469517505	pleasant enough romanc intellectu underpin kind movi entertain even turn maddeningli predict
40	0	1	0.6110400116242329	walter hill pulpi styliz box melodrama undisput nearli overcom question ring match solid fight choreographi gritti prison authent
41	0	0	0.35138084416529297	enigma look great solid act neat premis fail riddl wrap mysteri enigma
42	0	1	0.6029686010020522	wildli inconsist emot experi
43	1	1	0.6206218261622132	well write well act
44	0	1	0.5455261918811616	analyz movi word thumb friggin
45	1	1	0.6874966784514108	drumlin entertain admir
46	1	1	0.814734602006095	morton usual brilliant
47	0	0	0.286847997984153	coher well shoot tartli act wear dinner guest show doctor
48	0	0	0.17654623515474557	swimfan fatal attract eventu go overboard looni melodramat denouement high school swim pool substitut bathtub
49	0	0	0.46969185718121004	altern raucou sappi ethnic sitcom wise send regret
50	1	0	0.41806498148730964	south border melros place
51	1	1	0.7628319002729025	unforgett look moral famili social expect prism omnibu tradit call marriag
52	0	0	0.4250802004875946	puzzl experi
53	1	1	0.7378017099488271	movi strong messag never give love one easi movi watch probabl disturb mani see
54	0	0	0.47832369926807833	movi neglig work manipul exploit piec usual worst guilt trip parent
55	0	0	0.48109708436220666	expand minut theatric releas still feel somewhat unfinish
56	0	1	0.8524842479647539	hard care film propos epic tragedi plight callow rich boy forc choos beauti self satisfi year old girlfriend equal beauti self satisfi year old mistress
57	1	0	0.47989587166712755	solondz intent hammer home messag forget make entertain
58	0	0	0.19715094196916674	scientif law discern produc well heed mediocr movi start drag soon action speed explos start fall piec
59	0	0	0.2328319817552482	chuckl singl gag sequenc realli score star seem differ movi
60	1	1	0.7603200709561109	good great freeman judd make work
61	1	1	0.7645544081514443	polanski best film
62	0	1	0.6846640149418953	premièr imag
63	1	0	0.411264429980445	film open maggot crawl dead dog place metaphor
64	1	0	0.4087894199025714	miniscul littl bleep film radar mani peopl check
65	1	1	0.9044093251094515	dark disturb also surprisingli funni
66	0	0	0.19260609795300715	thing scari feardotcom filmmak studio brazen enough attempt pass stinker scari movi
67	0	0	0.4733210261821425	strain caper movi hardli fun watch begin vapor memori minut end
68	1	1	0.6104836745782056	road perdit display great worth see also come lazi arrog thing alreadi know win
69	0	0	0.4490943484564199	movi make absolut sens underli mytholog hodgepodg inconsist pose question dumb entertain dumb
70	1	1	0.7157798481647862	isl preposter thoroughli misogynist vista incred beauti look
71	0	1	0.5873194718577872	humorless self consciou art drivel make glimmer intellig invent
72	0	0	0.2741603203762124	breen script sketchi actorish notat margin act
73	1	1	0.8247342781574628	film real appeal clooney fan adventur buff moviego enjoy think compel question easi answer
74	0	0	0.3832074584136535	interest wit conflict palestinian side longley film lack balanc fail put struggl meaning histor context
75	1	1	0.7577925371538968	touch arthous poetic symbol heaven prove good match sensibl director
76	0	0	0.4549201932222493	way toler insipid brutal clueless film larg dose painkil
77	1	1	0.5036565098769813	hour half joy solo perform
78	1	1	0.7647549083310492	fan critic darl band wilco marvel sometim murki alway brood look tri break heart
79	0	0	0.4378731718477985	difficult imagin process produc script gue spray chees underarm nois play crucial role
80	1	0	0.38105855826219215	wors silenc lamb better hannib
81	1	1	0.6740917012045805	forgett horror gori psycholog highli satisfi quotient friday night excit milla power
82	1	0	0.36459793050262734	way seep conscious linger question film realli get
83	0	0	0.3190396223420605	paraphras line anoth dicken novel nichola nicklebi much fragment underdon potato
84	1	1	0.6449841532629462	oscar wild masterpiec import earnest best play centuri good relentless polish wit withstand inept school product even oliv parker movi adapt
85	1	1	0.6671787970063662	worthwhil documentari rap even still leav want answer credit roll
86	1	1	0.5373063901438323	begin high note sustain beauti
87	0	0	0.17237393290420797	even bother rent video
88	0	0	0.44665902679143343	last man last movi leav earth toss presid end cinema know anoth night delight hand shadow
89	0	1	0.5782600980285337	open play partli close
90	1	1	0.823121308154161	shrek spirit visual imagin remind anim perfect medium child way allow mind enter accept anoth world
91	0	0	0.34924514021115216	seri die long ago keep bring back anoth day punish pay money see last jame bond movi
92	1	1	0.610752142540851	frida artist brillianc undeni breathtakingli design film ever see
93	1	0	0.25794187778833333	occasion cours review art hous obscur slam bam action flick jad critic smack truli new
94	1	1	0.746939656037542	fun wispi wise surprisingli inoffens film teen love stepmom
95	1	0	0.396098138357031	love masoch binoch make interest tri find
96	1	1	0.6497901300357847	cool movi snow emerg
97	0	1	0.6281025647024814	sweet home alabama certainli rememb witherspoon better film
98	0	0	0.28067076800090385	supposedli pokemon kill pokemon ever practic assur pocket monster movi franchis nearli readi keel
99	0	1	0.590511891280642	benigni star co-wrot seem wonder time alon
100	0	1	0.7657553497400652	film mean well hors tale freedom abl reach heart overbear
101	0	0	0.11734076125226187	bad kramer make guest appear live thing
102	0	0	0.2645681584571617	hole stori somewhat predict plot moment movi caus jump chair
103	0	0	0.4246798728629965	difficult spot culprit earli predict thriller
104	1	0	0.35400068446954547	disreput air whole thing make irresist
105	1	1	0.8077744048475304	mostli martha mostli unsurpris still sweet even delect divers
106	0	0	0.28063446791910884	monster bear make
107	0	0	0.4222014409509148	episod film make valid point deperson modern life charact tend clich life never fulli explor
108	1	1	0.7682198389488599	summer clone harvard man rare rivet wild ride reli special effect
109	1	0	0.29417839852884864	burn visual charact punchi dialogu plot carri waydowntown
110	0	0	0.390478488247662	overal tomfooleri matter tast
111	1	0	0.22787333055591522	craig bartlett director tuck tucker commend illustr merit fight hard realli matter
